date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:42:44	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2002:42:44%20GMT	https://www.ikimtechco.com/robots.txt		(from )
05:42:45	74811/74811	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2013:07:10%20GMT	https://www.ikimtechco.com/	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/index.html	(from )
05:42:46	22764/22764	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Sep%202024%2022:27:48%20GMT	https://www.ikimtechco.com/img/logoikim.png	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/logoikim.png	(from https://www.ikimtechco.com/)
05:42:47	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2002:42:47%20GMT	https://www.ikimtechco.com/img/favicon.ico	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/favicon.ico	(from https://www.ikimtechco.com/)
05:42:48	16964/16964	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2020:07:16%20GMT	https://www.ikimtechco.com/lib/animate/animate.min.css	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/animate/animate.min.css	(from https://www.ikimtechco.com/)
05:42:49	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2020:07:44%20GMT	https://www.ikimtechco.com/lib/owlcarousel/assets/owl.carousel.min.css	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.ikimtechco.com/)
05:42:50	2608/2608	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2020:07:38%20GMT	https://www.ikimtechco.com/lib/lightbox/css/lightbox.min.css	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/lightbox/css/lightbox.min.css	(from https://www.ikimtechco.com/)
05:42:51	164145/164145	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2020:08:08%20GMT	https://www.ikimtechco.com/css/bootstrap.min.css	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/css/bootstrap.min.css	(from https://www.ikimtechco.com/)
05:42:52	12035/12035	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2023:02:12%20GMT	https://www.ikimtechco.com/css/style.css	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/css/style.css	(from https://www.ikimtechco.com/)
05:42:53	74811/74811	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2013:07:10%20GMT	https://www.ikimtechco.com/index.html	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/index-2.html	(from https://www.ikimtechco.com/)
05:42:55	431870/431870	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/pexels-pixabay-21015832.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/pexels-pixabay-21015832.jpg	(from https://www.ikimtechco.com/)
05:42:57	230997/230997	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2023:01:52%20GMT	https://www.ikimtechco.com/img/smartphone-6701409_1920.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/smartphone-6701409_1920.jpg	(from https://www.ikimtechco.com/)
05:42:57	1553521/1553521	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/pexels-ron-lach-8102677.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/pexels-ron-lach-8102677.jpg	(from https://www.ikimtechco.com/)
05:42:59	393941/393941	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/pexels-cottonbro-6153343.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/pexels-cottonbro-6153343.jpg	(from https://www.ikimtechco.com/)
05:43:00	592938/592938	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/pexels-jakubzerdzicki-19149826.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/pexels-jakubzerdzicki-19149826.jpg	(from https://www.ikimtechco.com/)
05:43:01	142356/142356	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/gojo.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/gojo.jpg	(from https://www.ikimtechco.com/)
05:43:01	99166/99166	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/Nawla.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/Nawla.jpg	(from https://www.ikimtechco.com/)
05:43:02	61213/61213	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/photo_2025-01-29_00-49-54.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/photo_2025-01-29_00-49-54.jpg	(from https://www.ikimtechco.com/)
05:43:03	855858/855858	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/Brand.png	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/Brand.png	(from https://www.ikimtechco.com/)
05:43:03	98398/98398	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/photo_2025-01-29_00-49-57.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/photo_2025-01-29_00-49-57.jpg	(from https://www.ikimtechco.com/)
05:43:04	54179/54179	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/photo_2025-01-29_00-50-03.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/photo_2025-01-29_00-50-03.jpg	(from https://www.ikimtechco.com/)
05:43:05	54483/54483	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/sho.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/sho.jpg	(from https://www.ikimtechco.com/)
05:43:06	11896/11896	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/gojoHouse.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/gojoHouse.jpg	(from https://www.ikimtechco.com/)
05:43:09	14566/14566	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/Eromica.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/Eromica.jpg	(from https://www.ikimtechco.com/)
05:43:10	11574/11574	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2023:52:20%20GMT	https://www.ikimtechco.com/img/projects/gamerSami.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/gamerSami.jpg	(from https://www.ikimtechco.com/)
05:43:10	37767/37767	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Jan%202025%2000:02:08%20GMT	https://www.ikimtechco.com/img/projects/hanybeauty.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/hanybeauty.jpg	(from https://www.ikimtechco.com/)
05:43:11	13198/13198	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/projects/yegna.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/yegna.jpg	(from https://www.ikimtechco.com/)
05:43:12	3083894/3083894	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202025%2022:14:12%20GMT	https://www.ikimtechco.com/img/projects/ybShopping.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/projects/ybShopping.jpg	(from https://www.ikimtechco.com/)
05:43:12	23659/23659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2023:21:56%20GMT	https://www.ikimtechco.com/img/team/miki.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/miki.jpg	(from https://www.ikimtechco.com/)
05:43:13	70481/70481	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/team/aman2.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/aman2.jpg	(from https://www.ikimtechco.com/)
05:43:14	47536/47536	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:00%20GMT	https://www.ikimtechco.com/img/team/betse.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/betse.jpg	(from https://www.ikimtechco.com/)
05:43:15	16410/16410	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:02%20GMT	https://www.ikimtechco.com/img/team/Jecoliah.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/Jecoliah.jpg	(from https://www.ikimtechco.com/)
05:43:17	155712/155712	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:02%20GMT	https://www.ikimtechco.com/img/team/bisrat.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/bisrat.jpg	(from https://www.ikimtechco.com/)
05:43:18	6746/6746	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2021:19:54%20GMT	https://www.ikimtechco.com/img/team/userpic.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/userpic.jpg	(from https://www.ikimtechco.com/)
05:43:18	195697/195697	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:07:02%20GMT	https://www.ikimtechco.com/img/team/tesfahun.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/team/tesfahun.jpg	(from https://www.ikimtechco.com/)
05:43:20	319559/319559	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/mailWithHand.png	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/mailWithHand.png	(from https://www.ikimtechco.com/)
05:43:20	8159/8159	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:48%20GMT	https://www.ikimtechco.com/lib/wow/wow.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/wow/wow.min.js	(from https://www.ikimtechco.com/)
